 ;Startzeit;Fertigstellungszeit;Dauer (in min);Alter des Kindes;Startort für den Schulweg;Schulweg (in km);Wohnort;lng;lat;Fahrgemeinschaften;Zufriedenheit:Wegbeschaffenheit;Zufriedenheit:Sicherheit;Zufriedenheit:Zeitdauer;Zufriedenheit:Komfortabilität;Zufriedenheit:Sozialer Zusammenhalt;Zufriedenheit:Wegbeschaffenheit.1;Zufriedenheit:Sicherheit.1;Zufriedenheit:Zeitdauer.1;Zufriedenheit:Komfortabilität.1;Zufriedenheit:Sozialer Zusammenhalt.1;Wenn Du mit dem Auto zur Schule fährst - was sind die Gründe dafür?;Wie wichtig ist Dir eine umweltverträgliche Form des Schulweges?;Kannst Du Dir vorstellen, vom Auto auf eine andere Verkehrsart umzusteigen - wenn ja auf welche?;Was ich sonst noch hinzufügen möchte (Anregungen und Anmerkungen);Wenn Du möchtest - gib bitte Deinen Namen an, damit wir mit Dir ins Gespräch kommen können.
58;18.09.2024 11:10;18.09.2024 11:13;3;"JG 1-2;";Ich habe einen Wohnort;0.28;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Unzufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;"Verbindung mit dem Arbeitsweg der Eltern;";3;"Zu Fuß;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;Julia und Götz mit Leonore SG4
59;18.09.2024 11:13;18.09.2024 11:21;8.0;"JG 3-4;";Ich habe einen Wohnort;9.0;Pegenau (Klipphausen);13.5310326;51.1164074;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;;;;;;3;"Ich bilde eine Fahrgemeinschaft mit anderen;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Buspaten für die Grundschule, damit das Busfahren keine Angst macht;Julia Troch
60;18.09.2024 11:21;18.09.2024 11:23;2;"JG 1-2;";Ich habe einen Wohnort;9.0;Pegenau (Klipphausen);13.5310326;51.1164074;Ja;Zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;;;;;;3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;Julia Troch
61;18.09.2024 11:27;18.09.2024 11:29;2;"JG 1-2;JG 3-4;JG 5-6;";Ich habe einen Wohnort;20.0;Moritzburg;13.6819406;51.1592018;Ja;Zufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr zufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Sehr zufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Möglichkeit, mehrere eigene Kinder zu fahren;Fehlende oder unsichere Radwege;";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
62;18.09.2024 11:20;18.09.2024 11:32;12.0;"JG 3-4;";Ich habe einen Wohnort;12.0;Gauernitz;13.5558206;51.1139914;Ja;Sehr zufrieden;Unzufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;"Tagesablauf;Fehlende oder schlechte Verbindung mit Bus/ Bahn;";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";"Unsere Kinder (1. und 4. Klasse) fahren meist mit dem Bus, Autofahren findet besonders dann statt wenn sie nicht gemeinsam fahren können, unser 1.-Klässler soll noch nicht alleine Bus fahren. Beim ""Bus-fahren-üben"" zu Beginn des Schuljahres ist mir aufgefallen dass die Einmündung der Hafenstraße in die Zscheilaer Straße wenn man zu Fuß die Zscheilaer Straße geht ein unangenehmer Gefahrenpunkt ist, wenn man von oben kommt weil die Autos durch die Mauer Fußgänger erst sehr spät sehen und beidseitig weil einem Großteil der Autofahrer die aus der Uferstraße kommen nicht bewusst ist dass die Fußgänger Vorfahrt haben. Geht man als Erwachsener dort selbstbewusst über die Straße halten die Autos natürlich an aber wenn man sich etwas vorsichtiger bewegt fahren sie alle einfach durch, letztens 5 Autos in Folge (einschließlich Lehrpersonal der Schule) bevor wir von einem Auto durchgelassen wurden. Eventuell könnte dort ein Warnschild oder ein Zebrastreifen den Autofahrern verdeutlichen was sie gemäß StVO dort zwar sowieso beachten müssten aber anscheinend nicht wissen. ";Martin Koch, Papa von Emilia und Fernando SG 4
63;18.09.2024 11:31;18.09.2024 11:32;1;"JG 1-2;";Ich habe einen Wohnort;12.0;Gauernitz;13.5558206;51.1139914;Ja;Sehr zufrieden;Unzufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Tagesablauf;";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
64;18.09.2024 12:39;18.09.2024 12:53;14.0;"JG 3-4;";Ich habe einen Wohnort;10.0;Nimtitz;13.3785982;51.1640019;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Sehr unzufrieden;Sehr unzufrieden;Unzufrieden;Unzufrieden;Sehr unzufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, Fahrgemeinschaften zu bilden;";3;;"Die von vielen Schülern genutzte Haltestelle ""Bahnhofstraße"" sollte einen Fußgängerüberweg (beleuchteten Zebrastreifen) bekommen. Auch die Stadt Meißen sollte sich klima- und fußgängerfreundlich weiterentwickeln.";
65;18.09.2024 12:47;18.09.2024 13:00;13.0;"JG 5-6;JG 1-2;JG 3-4;";Ich habe einen Wohnort;3.4;Meißen ;13.4704939;51.1630871;Nein;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Zufrieden;;;"Tagesablauf;";4;;"Parksituation morgens vor der Schule - wenn es keinen freien Parkplatz vor der Schule gibt, wird von machen Eltern die ganze Kreuzung davor zugestellt, anstatt die Kinder ein paar Meter laufen zu lassen. Daran müsste dringend was geändert werden.
Zum größten Teil bewältigen Sie ihren Schulweg per Fahrrad oder Bus und nutzen dafür den Fußweg vom Busbahnhof Richtung Gymnasium.";
66;18.09.2024 13:17;18.09.2024 13:29;12.0;"JG 3-4;";zwei Wohnorte;3.3;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Sehr zufrieden;;;;;;"Möglichkeit, mehrere eigene Kinder zu fahren;Fehlende oder schlechte Verbindung mit Bus/ Bahn;Fehlende oder unsichere Radwege;Tagesablauf;";3;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Das Meißner Radwegnetz ist eine Katastrophe! Vor allem für Kinder.... auch allgemein betrachtet, ist die Verkehrsführung in Meißen schlecht organisiert, finden wir. Hoffentlich gibt es dahingehend irgendwann eine Veränderung!;
67;18.09.2024 14:30;18.09.2024 14:32;2;"Klasse 7-10;JG 1-2;";Ich habe einen Wohnort;0.8;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;;2;;;
68;18.09.2024 14:52;18.09.2024 14:56;4;"Klasse 7-10;";Ich habe einen Wohnort;12.0;Krögis (Käbschütztal);13.3797954;51.1204736;Ja;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Sehr zufrieden;"Zeit/ Zeitersparnis;Tagesablauf;Möglichkeit, mehrere eigene Kinder zu fahren;Möglichkeit, Fahrgemeinschaften zu bilden;Fehlende oder schlechte Verbindung mit Bus/ Bahn;Verbindung mit dem Arbeitsweg der Eltern;";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;Jana Schwenzien
69;18.09.2024 17:56;18.09.2024 17:58;2;"JG 3-4;";Ich habe einen Wohnort;47.0;Dresden;13.7381437;51.0493286;Ja;;;;;;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;";3;"Ich bilde eine Fahrgemeinschaft mit anderen;";;
70;18.09.2024 19:33;18.09.2024 19:36;3;"JG 1-2;";Ich habe einen Wohnort;4.0;Meißen ;13.4704939;51.1630871;Nein;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;"Zeit/ Zeitersparnis;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
71;18.09.2024 12:52;18.09.2024 20:20;448.0;"JG 3-4;";Ich habe einen Wohnort;2.0;Meißen;13.4704939;51.1630871;Nein;Sehr zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Unzufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;"Tagesablauf;";3;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Zu Fuß;";Lediglich am Montag Nachmittag nutzen wir das Auto zum Abholen aus der Schule (aus Tagesablaufgründen). Montag Morgen sowie dienstags bis freitags nutzen wir entweder den ÖPNV, das Rad oder bewältigen den Schul-/Heimweg zu Fuß (meistens morgens per ÖPNV, nachmittags zu Fuß).;
72;18.09.2024 21:53;18.09.2024 21:58;5;"JG 1-2;";Ich habe einen Wohnort;1.7;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;"Tagesablauf;";3;"Fahrrad;";"Ich fahre mein Kind täglich mit dem Lastenrad, wir sind aber Jahrgang 1, somit fehlt uns die Wintererfahrung. Da würde ich dann im Falle von viel Schnee wahrscheinlich laufen oder Schlitten fahren.
Auto nur im äußersten Notfall.";
73;18.09.2024 22:02;18.09.2024 22:04;2;"JG 3-4;JG 5-6;";Ich habe einen Wohnort;3.0;Meißen;13.4704939;51.1630871;Ja;;;;;;;;;;;"Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Bequemlichkeit;";2;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Zu Fuß;";;
74;19.09.2024 08:50;19.09.2024 08:54;4;"JG 3-4;Klasse 7-10;";Ich habe einen Wohnort;8.0;Pröda/Käbschütztal;13.3879841;51.1763397;Nein;Unzufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Das Verhalten der Busfahrer Grenzt an Kindeswohlgefährdung. VGM reagiert nicht auf Beschwerden!;Wilhelm Hahn
75;19.09.2024 09:09;19.09.2024 09:17;8.0;"JG 1-2;";Ich habe einen Wohnort;11.0;Weinböhla;13.5643531;51.1618943;Ja;;;;;;;;;;;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, Fahrgemeinschaften zu bilden;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;Jüpner Tilo
76;19.09.2024 09:25;19.09.2024 09:28;3;"JG 3-4;JG 5-6;";Ich habe einen Wohnort;7.4;Kleinzadel;13.4104585;51.2077304;Nein;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Sehr unzufrieden;Unzufrieden;Zufrieden;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";2;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;Hans-Christoph v. Zahn
77;19.09.2024 11:27;19.09.2024 11:30;3;"JG 3-4;";Ich habe einen Wohnort;1.5;Meißen;13.4704939;51.1630871;Nein;;;;;;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;3;"Zu Fuß;";;
78;19.09.2024 11:21;19.09.2024 11:31;10.0;"JG 3-4;";Ich habe einen Wohnort;2.0;Meißen ;13.4704939;51.1630871;Nein;Unzufrieden;Unzufrieden;Unzufrieden;Unzufrieden;Zufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;"Zeit/ Zeitersparnis;Tagesablauf;";3;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Zu Fuß;Ich bilde eine Fahrgemeinschaft mit anderen;";;
79;19.09.2024 23:14;19.09.2024 23:24;10.0;"JG 1-2;JG 3-4;";Ich habe einen Wohnort;26.0;Dresden ;13.7381437;51.0493286;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Zufrieden;Unzufrieden;Zufrieden;Sehr zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;";3;"Fahrrad;Zu Fuß;Ich bilde eine Fahrgemeinschaft mit anderen;";"Auf dem Weg zur Schule - ein wunderbarer Film über Schulwege in anderen Ländern der Erde: 
Ich könnte mir vorstellen als Challenge zum nächsten Klimaschultag mit dem Rad oder zu Fuß zur Schule zu kommen.";Teresa Eißmann 
80;20.09.2024 09:40;20.09.2024 09:49;9.0;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;1.5;Meißen;13.4704939;51.1630871;Nein;;;;;;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;Zeit/ Zeitersparnis;";2;"Zu Fuß;Fahrrad;";;
81;20.09.2024 10:06;20.09.2024 10:10;4;"JG 3-4;Klasse 7-10;";Ich habe einen Wohnort;2.5;Meißen;13.4704939;51.1630871;Ja;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Sehr zufrieden;Zufrieden;Zufrieden;"Bequemlichkeit;Tagesablauf;";3;"Fahrrad;";;
82;20.09.2024 14:13;20.09.2024 14:19;6.0;"JG 3-4;";Ich habe einen Wohnort;12.0;Klipphausen;13.5293546;51.0749571;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
83;20.09.2024 08:39;22.09.2024 12:36;3117.0;"JG 1-2;";Ich habe einen Wohnort;2.4;Meißen Spaar;13.49921;51.1492912;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Zufrieden;Zufrieden;Sehr zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Sehr zufrieden;Sehr zufrieden;Unzufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;";4;;Auto wird nur in Verbindung mit meinem Rollstuhl Ehemann benutzt. Sonst nutzen wir nur Bus, Fahrrad bzw Lastenfahrrad;Sandra Czurlok
84;22.09.2024 21:55;22.09.2024 22:01;6.0;"JG 1-2;";Ich habe einen Wohnort;9.0;Riemsdorf ;13.4822615;51.114362;Nein;;;;;;;;;;;"Verfügbarkeit von Alternativen;Zeit/ Zeitersparnis;Tagesablauf;";4;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";Kind ist grade eingeschult und traut sich noch nicht allein Busfahren - schön wäre wenn mehrere Kinder zusammen fahren würden (egal ob ÖPNV oder Elterntaxi);Cornelia und Hendrik 
85;22.09.2024 22:07;22.09.2024 22:11;4;"JG 1-2;";Ich habe einen Wohnort;1.6;Meißen ;13.4704939;51.1630871;Nein;Unzufrieden;Unzufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
86;23.09.2024 06:49;23.09.2024 06:55;6.0;"JG 3-4;JG 5-6;";Ich habe einen Wohnort;11.0;Coswig;13.5783983;51.1267305;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;;;;;;;3;;;
87;23.09.2024 09:58;23.09.2024 10:25;27.0;"JG 1-2;";Ich habe einen Wohnort;20.0;Badersen;13.2662487;51.148541;Ja;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Verfügbarkeit von Alternativen;Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Möglichkeit, Fahrgemeinschaften zu bilden;Bequemlichkeit;";3;"Ich bilde eine Fahrgemeinschaft mit anderen;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;Philipp
88;23.09.2024 19:35;23.09.2024 19:37;2;"JG 5-6;Klasse 7-10;";Ich habe einen Wohnort;35.0;Dresden;13.7381437;51.0493286;Ja;Zufrieden;Unzufrieden;Zufrieden;Unzufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Bequemlichkeit;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Unzuverlässigkeit der S-Bahn bzw. SEV;
89;23.09.2024 21:40;23.09.2024 21:50;10.0;"JG 1-2;Klasse 7-10;";Ich habe einen Wohnort;1.2;Meißen;13.4704939;51.1630871;Ja;;;;;;Zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, Fahrgemeinschaften zu bilden;Möglichkeit, mehrere eigene Kinder zu fahren;Bequemlichkeit;";3;"Zu Fuß;";Die Kinder laufen in der Regel zur Schule. Bei Schlechtwetter werden sie gemeinsam mit Nachbarsschulkinder in einer Fahrgemeinschaft gefahren. Der Rückweg ist teilweise zu Fuß, mit dem Bus oder auch mit dem Auto in Verbindung mit dem Arbeitsweg.;
90;24.09.2024 19:22;24.09.2024 19:24;2;"JG 1-2;JG 3-4;";Ich habe einen Wohnort;3.0;Meißen ;13.4704939;51.1630871;Nein;Zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Unzufrieden;Sehr zufrieden;Zufrieden;Zufrieden;"Zeit/ Zeitersparnis;";4;"Fahrrad;";;Dorothee Ronatschk 
91;25.09.2024 20:47;25.09.2024 20:57;10.0;"JG 1-2;";Ich habe einen Wohnort;0.4;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Unzufrieden;Unzufrieden;Sehr zufrieden;Zufrieden;Zufrieden;;3;"Zu Fuß;";Unser Weg ist zwar nicht weit, aber leider entstehen Gefahren durch unbedachtes Halten  anderen Eltern auf den Fußwegen vor der Schule. Dadurch sind wir gezwungen oft direkt auf der Straße laufen zu müssen. Dies lässt uns beim Gedanken, unsere Kinder allein laufen zu lassen, zweifeln, ob deren Schulweg sicher genug ist. ;Andreas Bielig/ Sarah Glaser mit Karl & Frieda
92;26.09.2024 17:15;26.09.2024 17:17;2;"JG 3-4;JG 5-6;";Ich habe einen Wohnort;3.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;4;;;
93;26.09.2024 17:15;26.09.2024 17:17;2;"JG 3-4;JG 5-6;";Ich habe einen Wohnort;3.0;Meißen ;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;4;;;
94;28.09.2024 07:26;28.09.2024 07:28;2;"JG 1-2;";Ich habe einen Wohnort;11.0;Coswig ;13.5783983;51.1267305;Nein;;;;;;;;;;;"Zeit/ Zeitersparnis;Tagesablauf;";2;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;
95;30.09.2024 21:54;30.09.2024 21:59;5;"JG 3-4;JG 5-6;";Ich habe einen Wohnort;11.0;Taubenheim (Klipphausen);13.4619324;51.0948532;Nein;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;;;;;;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Verfügbarkeit von Alternativen;Zeit/ Zeitersparnis;Möglichkeit, mehrere eigene Kinder zu fahren;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;Thomas Feldt
96;01.10.2024 09:03;01.10.2024 09:05;2;"Klasse 7-10;";Ich habe einen Wohnort;15.0;Jessen (Niederau);13.5298881;51.2080128;Nein;Zufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;;1 (unwichtig) ;"Ich kann mir keinen Umstieg vorstellen.;";;
97;01.10.2024 09:12;01.10.2024 09:17;5;"JG 1-2;";Ich habe einen Wohnort;0.9;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;3;;;Niklas SG 1
98;01.10.2024 11:35;01.10.2024 11:37;2;"Klasse 7-10;";zwei Wohnorte;1.8;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;;;;;;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;;4;"Zu Fuß;";;
99;01.10.2024 11:35;01.10.2024 11:38;3;"Klasse 7-10;";Ich habe einen Wohnort;2.6;Meißen;13.4704939;51.1630871;Nein;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr unzufrieden;;;;;;"Verbindung mit dem Arbeitsweg der Eltern;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";Nix;Moritz Goerke
100;01.10.2024 11:36;01.10.2024 11:38;2;"Klasse 7-10;";Ich habe einen Wohnort;4.0;Meißen;13.4704939;51.1630871;Nein;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;Zufrieden;"Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;";4;"Fahrrad;Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);";;
101;01.10.2024 11:36;01.10.2024 11:39;3;"Klasse 7-10;";Ich habe einen Wohnort;9.1;Coswig ;13.5783983;51.1267305;Nein;Zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Zufrieden;;;;;;;3;;;Lilly Charlotte Baumann 
102;01.10.2024 11:40;01.10.2024 11:45;5;"Klasse 7-10;";Ich habe einen Wohnort;12.0;Großdobritz;13.5683602;51.2163401;Ja;Zufrieden;Zufrieden;Unzufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;"Fehlende oder schlechte Verbindung mit Bus/ Bahn;Zeit/ Zeitersparnis;Verbindung mit dem Arbeitsweg der Eltern;Möglichkeit, mehrere eigene Kinder zu fahren;Möglichkeit, Fahrgemeinschaften zu bilden;";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen;";;
103;01.10.2024 11:52;01.10.2024 12:06;14.0;JG 1-2;Ich habe einen Wohnort;15.0;Coswig;13.5783983;51.1267305;Ich fahre nicht mit dem Auto zur Schule;Zufrieden;Sehr unzufrieden;Zufrieden;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;Zufrieden;;;4;;"Ein großes Problem ist die Parksituation vor der Schule. In den Hol-und Bringzeiten stehen immer Autos auf dem (nur durch Markierung) abgetrennten Fußweg und im Halteverbot. Oft stehen die Autos sogar so auf dem Fußweg, dass man auf die Straße ausweichen muss. Unsere Tochter in der 1. Klasse soll mit uns üben, Schritt für Schritt den Weg von der S-Bahn bis zur Schule und zurück allein zu bewältigen.
Sie kann weder über die parkenden Autos (auch oft Kleinbusse!) drüberschauen, noch sicher an ihnen vorbeilaufen.
Gemeint ist der Fußweg direkt gegenüber der Schule.
KLimaschule? Wer klimafreundlich kommt und einen längeren Weg in Kauf nimmt, lebt (zumindest als Grundschüler) gefährlich.
Wenn ich Eltern, die wie oben beschrieben parken, anspreche, stimmen sie mir zwar zu, verweisen jedoch auf die schlechte Parksituation, dass sie jetzt aber schnell zur Arbeit müssen usw.
Am nächsten Tag ist der Fußweg wieder zugeparkt.
Mein Eindruck ist:
STVO? egal-Hauptsache ich und meine Kinder kommen sicher zur Schule
Es muss schnell gehen, einen Parkplatz mit Entfernung zur Schule nehmen wird nicht in Erwägung gezogen
Ich kann nicht verstehen, warum viele Eltern das so trennen. Immer freundlicher Umgang und alle duzen sich usw., aber hier herrscht der pure Egoismus!

Wir haben kein Auto und fahren Bus und Bahn, laufen von der Haltestelle und zurück und nehmen dafür auch in Kauf, mehr Zeit zu benötigen.

Ich habe bereits einen Fragebogen ausgefüllt bei der Umfrage der Oberschule und mich dort ähnlich geäußert.";Eva-Maria Nicolaus
104;01.10.2024 21:16;01.10.2024 21:18;2;Klasse 7-10;Ich habe einen Wohnort;2.0;Meißen;13.4704939;51.1630871;Ich fahre nicht mit dem Auto zur Schule;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;Sehr zufrieden;;4;;;
105;04.10.2024 12:36;04.10.2024 12:39;3;JG 1-2;Ich habe einen Wohnort;12.0;Radebeul;13.6767995;51.0999765;Nein;;;;;;;;;;;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern;Fehlende oder unsichere Radwege";3;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Ich bilde eine Fahrgemeinschaft mit anderen";Wenn meine Tochter älter ist wird und soll sie mit der Bahn fahren. Aktuell ist sie ganz am Anfang aber dafür noch etwas zu jung und zuviel los zu Beginn in der 1. Klasse. ;
106;21.10.2024 09:28;21.10.2024 09:34;6.0;"JG 3-4;JG 5-6";Ich habe einen Wohnort;12.0;Klipphausen;13.5293546;51.0749571;Ja;Zufrieden;Unzufrieden;Zufrieden;Zufrieden;Zufrieden;;;;;;"Zeit/ Zeitersparnis;Tagesablauf;Verbindung mit dem Arbeitsweg der Eltern";4;"Öffentliche Verkehrsmittel (Bus, Bahn, Straßenbahn);Fahrrad";;
